Wavelength	B2	B3	B4	B5	B6	B7	B8	B8A	B11	B12
300	0	0	0	0	0	0	0	0	0	0
301	0	0	0	0	0	0	0	0	0	0
302	0	0	0	0	0	0	0	0	0	0
303	0	0	0	0	0	0	0	0	0	0
304	0	0	0	0	0	0	0	0	0	0
305	0	0	0	0	0	0	0	0	0	0
306	0	0	0	0	0	0	0	0	0	0
307	0	0	0	0	0	0	0	0	0	0
308	0	0	0	0	0	0	0	0	0	0
309	0	0	0	0	0	0	0	0	0	0
310	0	0	0	0	0	0	0	0	0	0
311	0	0	0	0	0	0	0	0	0	0
312	0	0	0	0	0	0	0	0	0	0
313	0	0	0	0	0	0	0	0	0	0
314	0	0	0	0	0	0	0	0	0	0
315	0	0	0	0	0	0	0	0	0	0
316	0	0	0	0	0	0	0	0	0	0
317	0	0	0	0	0	0	0	0	0	0
318	0	0	0	0	0	0	0	0	0	0
319	0	0	0	0	0	0	0	0	0	0
320	0	0	0	0	0	0	0	0	0	0
321	0	0	0	0	0	0	0	0	0	0
322	0	0	0	0	0	0	0	0	0	0
323	0	0	0	0	0	0	0	0	0	0
324	0	0	0	0	0	0	0	0	0	0
325	0	0	0	0	0	0	0	0	0	0
326	0	0	0	0	0	0	0	0	0	0
327	0	0	0	0	0	0	0	0	0	0
328	0	0	0	0	0	0	0	0	0	0
329	0	0	0	0	0	0	0	0	0	0
330	0	0	0	0	0	0	0	0	0	0
331	0	0	0	0	0	0	0	0	0	0
332	0	0	0	0	0	0	0	0	0	0
333	0	0	0	0	0	0	0	0	0	0
334	0	0	0	0	0	0	0	0	0	0
335	0	0	0	0	0	0	0	0	0	0
336	0	0	0	0	0	0	0	0	0	0
337	0	0	0	0	0	0	0	0	0	0
338	0	0	0	0	0	0	0	0	0	0
339	0	0	0	0	0	0	0	0	0	0
340	0	0	0	0	0	0	0	0	0	0
341	0	0	0	0	0	0	0	0	0	0
342	0	0	0	0	0	0	0	0	0	0
343	0	0	0	0	0	0	0	0	0	0
344	0	0	0	0	0	0	0	0	0	0
345	0	0	0	0	0	0	0	0	0	0
346	0	0	0	0	0	0	0	0	0	0
347	0	0	0	0	0	0	0	0	0	0
348	0	0	0	0	0	0	0	0	0	0
349	0	0	0	0	0	0	0	0	0	0
350	0	0	0	0	0	0	0	0	0	0
351	0	0	0	0	0	0	0	0	0	0
352	0	0	0	0	0	0	0	0	0	0
353	0	0	0	0	0	0	0	0	0	0
354	0	0	0	0	0	0	0	0	0	0
355	0	0	0	0	0	0	0	0	0	0
356	0	0	0	0	0	0	0	0	0	0
357	0	0	0	0	0	0	0	0	0	0
358	0	0	0	0	0	0	0	0	0	0
359	0	0	0	0	0	0	0	0	0	0
360	0	0	0	0	0	0	0	0	0	0
361	0	0	0	0	0	0	0	0	0	0
362	0	0	0	0	0	0	0	0	0	0
363	0	0	0	0	0	0	0	0	0	0
364	0	0	0	0	0	0	0	0	0	0
365	0	0	0	0	0	0	0	0	0	0
366	0	0	0	0	0	0	0	0	0	0
367	0	0	0	0	0	0	0	0	0	0
368	0	0	0	0	0	0	0	0	0	0
369	0	0	0	0	0	0	0	0	0	0
370	0	0	0	0	0	0	0	0	0	0
371	0	0	0	0	0	0	0	0	0	0
372	0	0	0	0	0	0	0	0	0	0
373	0	0	0	0	0	0	0	0	0	0
374	0	0	0	0	0	0	0	0	0	0
375	0	0	0	0	0	0	0	0	0	0
376	0	0	0	0	0	0	0	0	0	0
377	0	0	0	0	0	0	0	0	0	0
378	0	0	0	0	0	0	0	0	0	0
379	0	0	0	0	0	0	0	0	0	0
380	0	0	0	0	0	0	0	0	0	0
381	0	0	0	0	0	0	0	0	0	0
382	0	0	0	0	0	0	0	0	0	0
383	0	0	0	0	0	0	0	0	0	0
384	0	0	0	0	0	0	0	0	0	0
385	0	0	0	0	0	0	0	0	0	0
386	0	0	0	0	0	0	0	0	0	0
387	0	0	0	0	0	0	0	0	0	0
388	0	0	0	0	0	0	0	0	0	0
389	0	0	0	0	0	0	0	0	0	0
390	0	0	0	0	0	0	0	0	0	0
391	0	0	0	0	0	0	0	0	0	0
392	0	0	0	0	0	0	0	0	0	0
393	0	0	0	0	0	0	0	0	0	0
394	0	0	0	0	0	0	0	0	0	0
395	0	0	0	0	0	0	0	0	0	0
396	0	0	0	0	0	0	0	0	0	0
397	0	0	0	0	0	0	0	0	0	0
398	0	0	0	0	0	0	0	0	0	0
399	0	0	0	0	0	0	0	0	0	0
400	0	0	0	0	0	0	0	0	0	0
401	0	0	0	0	0	0	0	0	0	0
402	0	0	0	0	0	0	0	0	0	0
403	0	0	0	0	0	0	0	0	0	0
404	0	0	0	0	0	0	0	0	0	0
405	0	0	0	0	0	0	0	0	0	0
406	0	0	0	0	0	0	0	0	0	0
407	0	0	0	0	0	0	0	0	0	0
408	0	0	0	0	0	0	0	0	0	0
409	0	0	0	0	0	0	0	0	0	0
410	0	0	0	0	0	0	0	0	0	0
411	0	0	0	0	0	0	0	0	0	0
412	0	0	0	0	0	0	0	0	0	0
413	0	0	0	0	0	0	0	0	0	0
414	0	0	0	0	0	0	0	0	0	0
415	0	0	0	0	0	0	0	0	0	0
416	0	0	0	0	0	0	0	0	0	0
417	0	0	0	0	0	0	0	0	0	0
418	0	0	0	0	0	0	0	0	0	0
419	0	0	0	0	0	0	0	0	0	0
420	0	0	0	0	0	0	0	0	0	0
421	0	0	0	0	0	0	0	0	0	0
422	0	0	0	0	0	0	0	0	0	0
423	0	0	0	0	0	0	0	0	0	0
424	0	0	0	0	0	0	0	0	0	0
425	0	0	0	0	0	0	0	0	0	0
426	0	0	0	0	0	0	0	0	0	0
427	0	0	0	0	0	0	0	0	0	0
428	0	0	0	0	0	0	0	0	0	0
429	0	0	0	0	0	0	0	0	0	0
430	0	0	0	0	0	0	0	0	0	0
431	0	0	0	0	0	0	0	0	0	0
432	0	0	0	0	0	0	0	0	0	0
433	0	0	0	0	0	0	0	0	0	0
434	0	0	0	0	0	0	0	0	0	0
435	0	0	0	0	0	0	0	0	0	0
436	0.00581209	0	0	0	0	0	0	0	0	0
437	0.00561675	0	0	0	0	0	0	0	0	0
438	0.00557424	0	0	0	0	0	0	0	0	0
439	0.00534563	0	0	0	0	0	0	0	0	0
440	0.00519343	0	0	0	0	0	0	0	0	0
441	0.00505473	0	0	0	0	0	0	0	0	0
442	0.00494236	0	0	0	0	0	0	0	0	0
443	0.00497923	0	0	0	0	0	0	0	0	0
444	0.00477391	0	0	0	0	0	0	0	0	0
445	0.00455943	0	0	0	0	0	0	0	0	0
446	0.00434264	0	0	0	0	0	0	0	0	0
447	0.00425329	0	0	0	0	0	0	0	0	0
448	0.00418260	0	0	0	0	0	0	0	0	0
449	0.00414258	0	0	0	0	0	0	0	0	0
450	0.00416513	0	0	0	0	0	0	0	0	0
451	0.00431354	0	0	0	0	0	0	0	0	0
452	0.00512690	0	0	0	0	0	0	0	0	0
453	0.00924195	0	0	0	0	0	0	0	0	0
454	0.02788481	0	0	0	0	0	0	0	0	0
455	0.12563559	0	0	0	0	0	0	0	0	0
456	0.44773988	0	0	0	0	0	0	0	0	0
457	0.81587119	0	0	0	0	0	0	0	0	0
458	0.89685156	0	0	0	0	0	0	0	0	0
459	0.90598715	0	0	0	0	0	0	0	0	0
460	0.90248328	0	0	0	0	0	0	0	0	0
461	0.89398889	0	0	0	0	0	0	0	0	0
462	0.88482345	0	0	0	0	0	0	0	0	0
463	0.88074480	0	0	0	0	0	0	0	0	0
464	0.88621601	0	0	0	0	0	0	0	0	0
465	0.89958606	0	0	0	0	0	0	0	0	0
466	0.91520517	0	0	0	0	0	0	0	0	0
467	0.92750376	0	0	0	0	0	0	0	0	0
468	0.92882805	0	0	0	0	0	0	0	0	0
469	0.91691092	0	0	0	0	0	0	0	0	0
470	0.89617199	0	0	0	0	0	0	0	0	0
471	0.87317420	0	0	0	0	0	0	0	0	0
472	0.85491326	0	0	0	0	0	0	0	0	0
473	0.84697194	0	0	0	0	0	0	0	0	0
474	0.84924476	0	0	0	0	0	0	0	0	0
475	0.86172881	0	0	0	0	0	0	0	0	0
476	0.88542704	0	0	0	0	0	0	0	0	0
477	0.91762290	0	0	0	0	0	0	0	0	0
478	0.94690435	0	0	0	0	0	0	0	0	0
479	0.95926429	0	0	0	0	0	0	0	0	0
480	0.95391007	0	0	0	0	0	0	0	0	0
481	0.92337864	0	0	0	0	0	0	0	0	0
482	0.88171045	0	0	0	0	0	0	0	0	0
483	0.83866134	0	0	0	0	0	0	0	0	0
484	0.80524535	0	0	0	0	0	0	0	0	0
485	0.78493715	0	0	0	0	0	0	0	0	0
486	0.77924536	0	0	0	0	0	0	0	0	0
487	0.78802067	0	0	0	0	0	0	0	0	0
488	0.80572753	0	0	0	0	0	0	0	0	0
489	0.82344844	0	0	0	0	0	0	0	0	0
490	0.84001474	0	0	0	0	0	0	0	0	0
491	0.85656042	0	0	0	0	0	0	0	0	0
492	0.87375239	0	0	0	0	0	0	0	0	0
493	0.88755812	0	0	0	0	0	0	0	0	0
494	0.89387302	0	0	0	0	0	0	0	0	0
495	0.89424699	0	0	0	0	0	0	0	0	0
496	0.89155333	0	0	0	0	0	0	0	0	0
497	0.88904227	0	0	0	0	0	0	0	0	0
498	0.88976249	0	0	0	0	0	0	0	0	0
499	0.89547922	0	0	0	0	0	0	0	0	0
500	0.90888393	0	0	0	0	0	0	0	0	0
501	0.92653229	0	0	0	0	0	0	0	0	0
502	0.95068581	0	0	0	0	0	0	0	0	0
503	0.97270844	0	0	0	0	0	0	0	0	0
504	0.98090065	0	0	0	0	0	0	0	0	0
505	0.97426096	0	0	0	0	0	0	0	0	0
506	0.95520256	0	0	0	0	0	0	0	0	0
507	0.92673844	0	0	0	0	0	0	0	0	0
508	0.89490381	0	0	0	0	0	0	0	0	0
509	0.86749989	0	0	0	0	0	0	0	0	0
510	0.84860984	0	0	0	0	0	0	0	0	0
511	0.84236722	0	0	0	0	0	0	0	0	0
512	0.85160705	0	0	0	0	0	0	0	0	0
513	0.87296896	0	0	0	0	0	0	0	0	0
514	0.89834144	0	0	0	0	0	0	0	0	0
515	0.92553162	0	0	0	0	0	0	0	0	0
516	0.95565785	0	0	0	0	0	0	0	0	0
517	0.98479042	0	0	0	0	0	0	0	0	0
518	1.00000000	0	0	0	0	0	0	0	0	0
519	0.98624175	0	0	0	0	0	0	0	0	0
520	0.89786701	0	0	0	0	0	0	0	0	0
521	0.64665561	0	0	0	0	0	0	0	0	0
522	0.30800822	0.00008157	0	0	0	0	0	0	0	0
523	0.10709013	0.00066641	0	0	0	0	0	0	0	0
524	0.04095369	0.00071897	0	0	0	0	0	0	0	0
525	0.01825677	0.00083377	0	0	0	0	0	0	0	0
526	0.00928002	0.00101311	0	0	0	0	0	0	0	0
527	0.00529101	0.00107066	0	0	0	0	0	0	0	0
528	0.00348964	0.00103226	0	0	0	0	0	0	0	0
529	0.00263867	0.00105055	0	0	0	0	0	0	0	0
530	0.00215686	0.00110685	0	0	0	0	0	0	0	0
531	0.00187862	0.00120911	0	0	0	0	0	0	0	0
532	0.00167292	0.00126081	0	0	0	0	0	0	0	0
533	0.00156915	0.00124884	0	0	0	0	0	0	0	0
534	0.00152600	0.00124923	0	0	0	0	0	0	0	0
535	0.00151066	0.00130342	0	0	0	0	0	0	0	0
536	0.00150558	0.00146974	0	0	0	0	0	0	0	0
537	0.00151593	0.00188155	0	0	0	0	0	0	0	0
538	0.00150779	0.00291822	0	0	0	0	0	0	0	0
539	0.00146935	0.00539007	0	0	0	0	0	0	0	0
540	0.00143544	0.01271456	0	0	0	0	0	0	0	0
541	0.00138739	0.04176891	0	0	0	0	0	0	0	0
542	0.00136549	0.17729071	0	0	0	0	0	0	0	0
543	0.00072317	0.54945111	0	0	0	0	0	0	0	0
544	0	0.87793087	0	0	0	0	0	0	0	0
545	0	0.96104149	0	0	0	0	0	0	0	0
546	0	0.96873939	0	0	0	0	0	0	0	0
547	0	0.97152826	0	0	0	0	0	0	0	0
548	0	0.96152463	0	0	0	0	0	0	0	0
549	0	0.94825272	0	0	0	0	0	0	0	0
550	0	0.93642710	0	0	0	0	0	0	0	0
551	0	0.92689953	0	0	0	0	0	0	0	0
552	0	0.92262444	0	0	0	0	0	0	0	0
553	0	0.92673684	0	0	0	0	0	0	0	0
554	0	0.93589684	0	0	0	0	0	0	0	0
555	0	0.94794307	0	0	0	0	0	0	0	0
556	0	0.96104407	0	0	0	0	0	0	0	0
557	0	0.97392542	0	0	0	0	0	0	0	0
558	0	0.98488012	0	0	0	0	0	0	0	0
559	0	0.99320960	0	0	0	0	0	0	0	0
560	0	0.99919513	0	0	0	0	0	0	0	0
561	0	1.00000000	0	0	0	0	0	0	0	0
562	0	0.99001053	0	0	0	0	0	0	0	0
563	0	0.97169390	0	0	0	0	0	0	0	0
564	0	0.95486684	0	0	0	0	0	0	0	0
565	0	0.94319039	0	0	0	0	0	0	0	0
566	0	0.93486017	0	0	0	0	0	0	0	0
567	0	0.92703673	0	0	0	0	0	0	0	0
568	0	0.92220085	0	0	0	0	0	0	0	0
569	0	0.92519530	0	0	0	0	0	0	0	0
570	0	0.93557013	0	0	0	0	0	0	0	0
571	0	0.94883248	0	0	0	0	0	0	0	0
572	0	0.95940323	0	0	0	0	0	0	0	0
573	0	0.96790723	0	0	0	0	0	0	0	0
574	0	0.97481330	0	0	0	0	0	0	0	0
575	0	0.98014832	0	0	0	0	0	0	0	0
576	0	0.97775192	0	0	0	0	0	0	0	0
577	0	0.90095623	0	0	0	0	0	0	0	0
578	0	0.60308291	0	0	0	0	0	0	0	0
579	0	0.25252034	0	0	0	0	0	0	0	0
580	0	0.08152405	0	0	0	0	0	0	0	0
581	0	0.02743601	0	0	0	0	0	0	0	0
582	0	0.01047672	0	0	0	0	0	0	0	0
583	0	0.00478877	0	0	0	0	0	0	0	0
584	0	0.00278504	0	0	0	0	0	0	0	0
585	0	0.00191717	0	0	0	0	0	0	0	0
586	0	0.00145442	0	0	0	0	0	0	0	0
587	0	0.00120403	0	0	0	0	0	0	0	0
588	0	0.00106692	0	0	0	0	0	0	0	0
589	0	0.00102939	0	0	0	0	0	0	0	0
590	0	0.00106386	0	0	0	0	0	0	0	0
591	0	0.00114343	0	0	0	0	0	0	0	0
592	0	0.00120346	0	0	0	0	0	0	0	0
593	0	0.00115606	0	0	0	0	0	0	0	0
594	0	0.00098209	0	0	0	0	0	0	0	0
595	0	0.00078714	0	0	0	0	0	0	0	0
596	0	0.00064697	0	0	0	0	0	0	0	0
597	0	0.00056156	0	0	0	0	0	0	0	0
598	0	0.00051292	0	0	0	0	0	0	0	0
599	0	0.00051254	0	0	0	0	0	0	0	0
600	0	0	0	0	0	0	0	0	0	0
601	0	0	0	0	0	0	0	0	0	0
602	0	0	0	0	0	0	0	0	0	0
603	0	0	0	0	0	0	0	0	0	0
604	0	0	0	0	0	0	0	0	0	0
605	0	0	0	0	0	0	0	0	0	0
606	0	0	0	0	0	0	0	0	0	0
607	0	0	0	0	0	0	0	0	0	0
608	0	0	0	0	0	0	0	0	0	0
609	0	0	0	0	0	0	0	0	0	0
610	0	0	0	0	0	0	0	0	0	0
611	0	0	0	0	0	0	0	0	0	0
612	0	0	0	0	0	0	0	0	0	0
613	0	0	0	0	0	0	0	0	0	0
614	0	0	0	0	0	0	0	0	0	0
615	0	0	0	0	0	0	0	0	0	0
616	0	0	0	0	0	0	0	0	0	0
617	0	0	0	0	0	0	0	0	0	0
618	0	0	0	0	0	0	0	0	0	0
619	0	0	0	0	0	0	0	0	0	0
620	0	0	0	0	0	0	0	0	0	0
621	0	0	0	0	0	0	0	0	0	0
622	0	0	0	0	0	0	0	0	0	0
623	0	0	0	0	0	0	0	0	0	0
624	0	0	0	0	0	0	0	0	0	0
625	0	0	0	0	0	0	0	0	0	0
626	0	0	0	0	0	0	0	0	0	0
627	0	0	0	0	0	0	0	0	0	0
628	0	0	0	0	0	0	0	0	0	0
629	0	0	0	0	0	0	0	0	0	0
630	0	0	0.00072495	0	0	0	0	0	0	0
631	0	0	0.00067953	0	0	0	0	0	0	0
632	0	0	0.00055633	0	0	0	0	0	0	0
633	0	0	0.00044453	0	0	0	0	0	0	0
634	0	0	0.00038798	0	0	0	0	0	0	0
635	0	0	0.00036298	0	0	0	0	0	0	0
636	0	0	0.00036151	0	0	0	0	0	0	0
637	0	0	0.00036950	0	0	0	0	0	0	0
638	0	0	0.00039185	0	0	0	0	0	0	0
639	0	0	0.00043727	0	0	0	0	0	0	0
640	0	0	0.00049592	0	0	0	0	0	0	0
641	0	0	0.00059393	0	0	0	0	0	0	0
642	0	0	0.00076071	0	0	0	0	0	0	0
643	0	0	0.00104977	0	0	0	0	0	0	0
644	0	0	0.00157623	0	0	0	0	0	0	0
645	0	0	0.00248616	0	0	0	0	0	0	0
646	0	0	0.00447622	0	0	0	0	0	0	0
647	0	0	0.00954832	0	0	0	0	0	0	0
648	0	0	0.02403303	0	0	0	0	0	0	0
649	0	0	0.06759162	0	0	0	0	0	0	0
650	0	0	0.17739783	0	0	0	0	0	0	0
651	0	0	0.41429503	0	0	0	0	0	0	0
652	0	0	0.73522461	0	0	0	0	0	0	0
653	0	0	0.92808255	0	0	0	0	0	0	0
654	0	0	0.96462147	0	0	0	0	0	0	0
655	0	0	0.96480885	0	0	0	0	0	0	0
656	0	0	0.96204362	0	0	0	0	0	0	0
657	0	0	0.95539632	0	0	0	0	0	0	0
658	0	0	0.94765049	0	0	0	0	0	0	0
659	0	0	0.94241519	0	0	0	0	0	0	0
660	0	0	0.93945425	0	0	0	0	0	0	0
661	0	0	0.93887659	0	0	0	0	0	0	0
662	0	0	0.94088614	0	0	0	0	0	0	0
663	0	0	0.94467170	0	0	0	0	0	0	0
664	0	0	0.95148654	0	0	0	0	0	0	0
665	0	0	0.95881145	0	0	0	0	0	0	0
666	0	0	0.96570839	0	0	0	0	0	0	0
667	0	0	0.97126869	0	0	0	0	0	0	0
668	0	0	0.97615516	0	0	0	0	0	0	0
669	0	0	0.98197906	0	0	0	0	0	0	0
670	0	0	0.98850481	0	0	0	0	0	0	0
671	0	0	0.99518579	0	0	0	0	0	0	0
672	0	0	0.99956988	0	0	0	0	0	0	0
673	0	0	1.00000000	0	0	0	0	0	0	0
674	0	0	0.99759436	0	0	0	0	0	0	0
675	0	0	0.99338082	0	0	0	0	0	0	0
676	0	0	0.98592818	0	0	0	0	0	0	0
677	0	0	0.97236683	0	0	0	0	0	0	0
678	0	0	0.95295750	0.00004101	0	0	0	0	0	0
679	0	0	0.92344847	0.00014092	0	0	0	0	0	0
680	0	0	0.85543935	0.00014360	0	0	0	0	0	0
681	0	0	0.68821494	0.00014670	0	0	0	0	0	0
682	0	0	0.41825410	0.00015586	0	0	0	0	0	0
683	0	0	0.18824224	0.00016587	0	0	0	0	0	0
684	0	0	0.07465708	0.00016760	0	0	0	0	0	0
685	0	0	0.03282836	0.00017598	0	0	0	0	0	0
686	0	0	0.01528275	0.00018772	0	0	0	0	0	0
687	0	0	0.00761471	0.00019774	0	0	0	0	0	0
688	0	0	0.00415471	0.00020914	0	0	0	0	0	0
689	0	0	0.00250253	0.00023599	0	0	0	0	0	0
690	0	0	0.00167378	0.00027070	0	0	0	0	0	0
691	0	0	0.00117426	0.00032070	0	0	0	0	0	0
692	0	0	0.00085817	0.00041638	0	0	0	0	0	0
693	0	0	0.00066068	0.00061835	0	0	0	0	0	0
694	0	0	0.00053252	0.00113162	0	0	0	0	0	0
695	0	0	0.00045262	0.00251702	0	0	0	0	0	0
696	0	0	0.00039405	0.00729115	0	0	0	0	0	0
697	0	0	0.00034974	0.02885108	0	0	0	0	0	0
698	0	0	0.00031701	0.11981149	0	0	0	0	0	0
699	0	0	0.00029853	0.36581671	0	0	0	0	0	0
700	0	0	0.00028170	0.70196487	0	0	0	0	0	0
701	0	0	0.00027444	0.92166979	0	0	0	0	0	0
702	0	0	0.00027251	0.95458504	0	0	0	0	0	0
703	0	0	0.00027435	0.96276758	0	0	0	0	0	0
704	0	0	0	0.97394389	0	0	0	0	0	0
705	0	0	0	0.98106252	0	0	0	0	0	0
706	0	0	0	0.98506390	0	0	0	0	0	0
707	0	0	0	0.98687623	0	0	0	0	0	0
708	0	0	0	0.98822950	0	0	0	0	0	0
709	0	0	0	0.99135150	0	0	0	0	0	0
710	0	0	0	0.99631500	0	0	0	0	0	0
711	0	0	0	1.00000000	0	0	0	0	0	0
712	0	0	0	0.99347856	0.00022058	0	0	0	0	0
713	0	0	0	0.92826859	0.00024707	0	0	0	0	0
714	0	0	0	0.71421131	0.00023011	0	0	0	0	0
715	0	0	0	0.39354093	0.00021634	0	0	0	0	0
716	0	0	0	0.13011195	0.00021348	0	0	0	0	0
717	0	0	0	0.03416611	0.00021271	0	0	0	0	0
718	0	0	0	0.00997587	0.00021565	0	0	0	0	0
719	0	0	0	0.00377730	0.00022855	0	0	0	0	0
720	0	0	0	0.00178667	0.00024439	0	0	0	0	0
721	0	0	0	0.00095926	0.00027521	0	0	0	0	0
722	0	0	0	0.00058113	0.00031313	0	0	0	0	0
723	0	0	0	0.00040550	0.00038369	0	0	0	0	0
724	0	0	0	0.00031656	0.00047346	0	0	0	0	0
725	0	0	0	0.00026095	0.00062306	0	0	0	0	0
726	0	0	0	0.00022554	0.00089975	0	0	0	0	0
727	0	0	0	0.00020309	0.00146109	0	0	0	0	0
